iter	Passed	Remaining
171	1395	6716
172	1403	6709
173	1411	6702
174	1419	6691
175	1426	6680
176	1434	6670
177	1442	6659
178	1449	6648
179	1457	6638
180	1464	6628
181	1472	6619
182	1480	6609
183	1487	6598
184	1495	6590
185	1503	6579
186	1510	6569
187	1518	6560
188	1526	6549
189	1533	6539
190	1541	6528
191	1549	6518
192	1556	6508
193	1564	6498
194	1571	6489
195	1579	6478
196	1586	6468
197	1594	6459
198	1602	6449
199	1609	6439
200	1618	6433
201	1626	6425
202	1634	6416
203	1642	6407
204	1650	6398
205	1657	6388
206	1667	6388
207	1675	6380
208	1683	6371
209	1691	6362
210	1698	6352
211	1706	6342
212	1713	6332
213	1721	6322
214	1729	6312
215	1736	6304
216	1744	6295
217	1752	6285
218	1759	6274
219	1767	6266
220	1774	6256
221	1782	6247
222	1790	6239
223	1798	6230
224	1807	6224
225	1815	6216
226	1822	6207
227	1830	6197
228	1838	6188
229	1845	6179
230	1853	6169
231	1860	6159
232	1868	6150
233	1876	6141
234	1883	6131
235	1891	6122
236	1898	6112
237	1906	6103
238	1915	6098
239	1923	6090
240	1930	6080
241	1938	6070
242	1945	6061
243	1953	6051
244	1960	6042
245	1968	6033
246	1976	6024
247	1983	6014
248	1991	6005
249	1998	5995
250	2007	5989
251	2015	5983
252	2024	5977
253	2034	5974
254	2042	5966
255	2050	5959
256	2058	5950
257	2068	5950
258	2076	5940
259	2084	5931
260	2091	5922
261	2099	5913
262	2107	5904
263	2115	5897
264	2123	5888
265	2130	5879
266	2138	5870
267	2146	5861
268	2154	5853
269	2162	5845
270	2174	5849
271	2188	5856
272	2196	5848
273	2206	5846
274	2214	5839
275	2222	5829
276	2229	5820
277	2237	5811
278	2245	5802
279	2253	5794
280	2261	5785
281	2270	5780
282	2279	5774
283	2286	5765
284	2294	5757
285	2303	5750
286	2311	5741
287	2318	5732
288	2327	5725
289	2336	5721
290	2345	5714
291	2353	5706
292	2361	5698
293	2369	5689
294	2376	5680
295	2384	5671
296	2391	5661
297	2399	5652
298	2407	5643
299	2414	5634
300	2422	5625
301	2429	5615
302	2437	5606
303	2444	5597
304	2452	5588
305	2460	5581
306	2470	5576
307	2478	5567
308	2485	5558
309	2493	5549
310	2500	5539
311	2508	5530
312	2515	5521
313	2523	5513
314	2531	5504
315	2538	5495
316	2546	5487
317	2556	5481
318	2575	5497
319	2591	5506
320	2604	5509
321	2616	5509
322	2625	5503
323	2634	5497
324	2643	5490
325	2651	5482
326	2660	5474
327	2667	5465
328	2675	5456
329	2682	5447
330	2690	5438
331	2698	5429
332	2706	5420
333	2713	5410
334	2721	5401
335	2728	5392
336	2736	5383
337	2743	5374
338	2751	5365
339	2759	5356
340	2766	5346
341	2774	5337
342	2793	5350
343	2804	5347
344	2811	5337
345	2819	5328
346	2826	5319
347	2834	5310
348	2841	5301
349	2849	5291
350	2857	5283
351	2864	5273
352	2872	5265
353	2880	5255
354	2887	5246
355	2895	5237
356	2902	5228
357	2910	5219
358	2918	5210
359	2925	5200
360	2933	5192
361	2954	5207
362	2962	5198
363	2969	5189
364	2978	5182
365	2987	5175
366	2996	5167
367	3005	5161
368	3014	5155
369	3023	5147
370	3032	5141
371	3040	5132
372	3048	5123
373	3055	5114
374	3063	5105
375	3070	5096
376	3078	5086
377	3085	5077
378	3093	5068
379	3100	5059
380	3108	5050
381	3116	5041
382	3135	5050
383	3142	5041
384	3150	5033
385	3159	5026
386	3168	5018
387	3178	5013
388	3187	5006
389	3194	4997
390	3202	4987
391	3210	4979
392	3217	4970
393	3225	4961
394	3233	4951
395	3240	4943
396	3248	4934
397	3256	4925
398	3263	4916
399	3271	4907
400	3279	4898
401	3286	4889
402	3294	4880
403	3302	4871
404	3309	4862
405	3331	4874
406	3341	4868
407	3349	4859
408	3357	4851
409	3364	4842
410	3372	4833
411	3380	4824
412	3387	4815
413	3395	4806
414	3403	4797
415	3410	4788
416	3418	4779
417	3425	4770
418	3433	4761
419	3441	4752
420	3448	4743
421	3456	4734
422	3463	4724
423	3471	4716
424	3479	4707
425	3503	4721
426	3512	4713
427	3520	4704
428	3527	4695
429	3535	4686
430	3542	4677
431	3550	4668
432	3558	4659
433	3565	4650
434	3573	4641
435	3581	4632
436	3588	4623
437	3596	4614
438	3603	4605
439	3611	4596
440	3619	4587
441	3626	4578
442	3634	4569
443	3651	4573
444	3663	4568
445	3670	4559
446	3678	4550
447	3686	4541
448	3693	4532
449	3701	4524
450	3708	4514
451	3716	4505
452	3724	4496
453	3731	4487
454	3739	4478
455	3746	4469
456	3754	4461
457	3762	4452
458	3770	4444
459	3778	4435
460	3785	4426
461	3807	4433
462	3816	4426
463	3824	4417
464	3831	4408
465	3839	4399
466	3847	4390
467	3854	4381
468	3862	4372
469	3869	4363
470	3877	4354
471	3885	4346
472	3892	4336
473	3900	4328
474	3907	4319
475	3916	4311
476	3923	4302
477	3931	4293
478	3939	4284
479	3949	4278
480	3967	4280
481	3976	4273
482	3985	4265
483	3994	4258
484	4002	4250
485	4011	4242
486	4019	4233
487	4026	4224
488	4034	4215
489	4041	4206
490	4049	4197
491	4056	4188
492	4064	4180
493	4072	4171
494	4079	4162
495	4087	4153
496	4094	4144
497	4114	4147
498	4121	4138
499	4129	4129
500	4137	4120
501	4145	4111
502	4152	4103
503	4160	4094
504	4168	4085
505	4176	4077
506	4183	4068
507	4191	4059
508	4199	4050
509	4207	4042
510	4214	4033
511	4222	4024
512	4230	4015
513	4237	4006
514	4245	3997
515	4255	3991
516	4270	3989
517	4278	3981
518	4286	3972
519	4294	3963
520	4301	3954
521	4309	3946
522	4316	3937
523	4324	3928
524	4331	3919
525	4339	3910
526	4346	3901
527	4355	3893
528	4362	3884
529	4370	3875
530	4377	3866
531	4385	3857
532	4393	3849
533	4401	3841
534	4410	3833
535	4417	3824
536	4425	3815
537	4433	3806
538	4440	3797
539	4448	3789
540	4455	3780
541	4463	3771
542	4471	3763
543	4479	3754
544	4486	3745
545	4494	3737
546	4513	3737
547	4522	3730
548	4530	3722
549	4538	3713
550	4546	3705
551	4554	3696
552	4561	3687
553	4569	3678
554	4577	3670
555	4585	3661
556	4592	3652
557	4600	3643
558	4608	3635
559	4616	3626
560	4624	3618
561	4631	3609
562	4639	3600
563	4646	3592
564	4654	3583
565	4662	3575
566	4674	3569
567	4684	3563
568	4696	3557
569	4706	3550
570	4716	3543
571	4724	3534
572	4731	3526
573	4739	3517
574	4746	3508
575	4754	3499
576	4761	3490
577	4769	3482
578	4777	3473
579	4784	3464
580	4792	3456
581	4800	3447
582	4807	3438
583	4815	3430
584	4825	3423
585	4835	3416
586	4845	3409
587	4854	3401
588	4861	3392
589	4869	3384
590	4877	3375
591	4884	3366
592	4892	3358
593	4900	3349
594	4907	3340
595	4915	3332
596	4923	3323
597	4930	3314
598	4938	3306
599	4947	3298
600	4956	3290
601	4966	3283
602	4975	3275
603	4983	3267
604	5011	3271
605	5019	3263
606	5027	3254
607	5034	3246
608	5042	3237
609	5051	3229
610	5059	3221
611	5068	3213
612	5078	3205
613	5087	3198
614	5094	3189
615	5102	3180
616	5110	3172
617	5117	3163
618	5125	3154
619	5132	3145
620	5155	3146
621	5164	3138
622	5171	3129
623	5180	3121
624	5189	3113
625	5196	3104
626	5204	3096
627	5212	3087
628	5219	3078
629	5227	3069
630	5235	3061
631	5242	3052
632	5250	3044
633	5257	3035
634	5265	3026
635	5273	3018
636	5280	3009
637	5288	3000
638	5296	2992
639	5303	2983
640	5311	2974
641	5319	2966
642	5326	2957
643	5334	2949
644	5342	2940
645	5349	2931
646	5357	2923
647	5365	2914
648	5388	2914
649	5396	2905
650	5403	2897
651	5411	2888
652	5419	2879
653	5426	2871
654	5434	2862
655	5442	2854
656	5450	2845
657	5457	2836
658	5465	2828
659	5472	2819
660	5481	2811
661	5489	2802
662	5497	2794
663	5504	2785
664	5512	2776
665	5520	2768
666	5542	2767
667	5550	2758
668	5558	2750
669	5565	2741
670	5573	2732
671	5581	2724
672	5588	2715
673	5596	2706
674	5604	2698
675	5611	2689
676	5619	2680
677	5626	2672
678	5634	2663
679	5642	2655
680	5649	2646
681	5657	2637
682	5665	2629
683	5672	2620
684	5696	2619
685	5703	2610
686	5711	2602
687	5718	2593
688	5726	2584
689	5733	2575
690	5741	2567
691	5749	2559
692	5757	2550
693	5764	2541
694	5772	2533
695	5779	2524
696	5787	2515
697	5794	2507
698	5802	2498
699	5810	2490
700	5817	2481
701	5825	2472
702	5832	2464
703	5840	2455
704	5847	2446
705	5855	2438
706	5863	2429
707	5871	2421
708	5894	2419
709	5901	2410
710	5910	2402
711	5917	2393
712	5927	2385
713	5935	2377
714	5945	2369
715	5957	2363
716	5966	2355
717	5974	2346
718	5982	2338
719	5989	2329
720	5997	2320
721	6005	2312
722	6012	2303
723	6020	2295
724	6028	2286
725	6050	2283
726	6057	2274
727	6065	2266
728	6073	2257
729	6080	2249
730	6088	2240
731	6095	2231
732	6103	2223
733	6111	2214
734	6118	2206
735	6126	2197
736	6133	2188
737	6141	2180
738	6149	2171
739	6156	2163
740	6164	2154
741	6171	2146
742	6179	2137
743	6201	2133
744	6210	2125
745	6217	2117
746	6225	2108
747	6233	2100
748	6241	2091
749	6248	2082
750	6256	2074
751	6264	2065
752	6271	2057
753	6279	2048
754	6287	2040
755	6294	2031
756	6302	2023
757	6310	2014
758	6317	2006
759	6325	1997
760	6333	1988
761	6356	1985
762	6363	1976
763	6371	1968
764	6379	1959
765	6386	1951
766	6394	1942
767	6401	1933
768	6409	1925
769	6416	1916
770	6424	1908
771	6431	1899
772	6439	1891
773	6447	1882
774	6454	1873
775	6462	1865
776	6470	1856
777	6477	1848
778	6485	1839
779	6507	1835
780	6515	1827
781	6523	1818
782	6530	1809
783	6538	1801
784	6545	1792
785	6554	1784
786	6561	1775
787	6569	1767
788	6577	1758
789	6584	1750
790	6592	1741
791	6600	1733
792	6607	1724
793	6615	1716
794	6622	1707
795	6630	1699
796	6638	1690
797	6661	1686
798	6669	1677
799	6676	1669
800	6684	1660
801	6691	1652
802	6699	1643
803	6706	1635
804	6714	1626
805	6722	1617
806	6729	1609
807	6737	1600
808	6744	1592
809	6752	1583
810	6760	1575
811	6767	1566
812	6775	1558
813	6782	1549
814	6790	1541
815	6812	1536
816	6819	1527
817	6828	1519
818	6836	1510
819	6843	1502
820	6851	1493
821	6858	1485
822	6866	1476
823	6873	1468
824	6881	1459
825	6889	1451
826	6896	1442
827	6905	1434
828	6914	1426
829	6922	1417
830	6933	1409
831	6941	1401
832	6950	1393
833	6958	1384
834	6981	1379
835	6989	1371
836	6996	1362
837	7004	1354
838	7012	1345
839	7019	1337
840	7027	1328
841	7034	1320
842	7042	1311
843	7049	1303
844	7057	1294
845	7065	1286
846	7072	1277
847	7080	1269
848	7088	1260
849	7095	1252
850	7103	1243
851	7111	1235
852	7133	1229
853	7141	1220
854	7149	1212
855	7156	1203
856	7164	1195
857	7171	1186
858	7179	1178
859	7187	1170
860	7194	1161
861	7202	1153
862	7210	1144
863	7217	1136
864	7225	1127
865	7233	1119
866	7240	1110
867	7248	1102
868	7256	1093
869	7263	1085
870	7285	1079
871	7294	1070
872	7302	1062
873	7309	1053
874	7317	1045
875	7325	1036
876	7332	1028
877	7340	1019
878	7348	1011
879	7356	1003
880	7363	994
881	7371	986
882	7378	977
883	7386	969
884	7394	960
885	7401	952
886	7409	943
887	7417	935
888	7439	928
889	7447	920
890	7455	912
891	7463	903
892	7470	895
893	7478	886
894	7486	878
895	7493	869
896	7501	861
897	7509	852
898	7516	844
899	7524	836
900	7532	827
901	7539	819
902	7547	810
903	7555	802
904	7562	793
905	7570	785
906	7591	778
907	7599	770
908	7607	761
909	7614	753
910	7622	744
911	7630	736
912	7637	727
913	7645	719
914	7653	710
915	7660	702
916	7668	694
917	7676	685
918	7683	677
919	7691	668
920	7698	660
921	7706	651
922	7714	643
923	7722	635
924	7729	626
925	7750	619
926	7757	610
927	7765	602
928	7772	594
929	7780	585
930	7787	577
931	7795	568
932	7802	560
933	7810	551
934	7818	543
935	7825	535
936	7833	526
937	7841	518
938	7848	509
939	7856	501
940	7863	493
941	7871	484
942	7879	476
943	7906	469
944	7917	460
945	7925	452
946	7934	444
947	7942	435
948	7949	427
949	7957	418
950	7965	410
951	7973	402
952	7980	393
953	7988	385
954	7995	376
955	8003	368
956	8011	359
957	8018	351
958	8026	343
959	8033	334
960	8041	326
961	8048	317
962	8056	309
963	8063	301
964	8071	292
965	8079	284
966	8086	275
967	8094	267
968	8116	259
969	8124	251
970	8131	242
971	8139	234
972	8147	226
973	8154	217
974	8162	209
975	8169	200
976	8177	192
977	8184	184
978	8192	175
979	8200	167
980	8208	158
981	8215	150
982	8223	142
983	8231	133
984	8239	125
985	8247	117
986	8270	108
987	8278	100
988	8285	92
989	8293	83
990	8301	75
991	8309	67
992	8316	58
993	8324	50
994	8332	41
995	8340	33
996	8347	25
997	8355	16
998	8363	8
999	8370	0
